name,university,university_state,carnegie,discipline,rmp_url,tenure_year,confidence,confidence_label,rank,num_ratings,professor_id
Brian Ricks,University of Nebraska Omaha,NE,R2,Computer Science,https://www.ratemyprofessors.com/professor/2140326,2023.0,0.9,high,Associate Professor,22,2140326
Yuliya Lierler,University of Nebraska Omaha,NE,R2,Computer Science,https://www.ratemyprofessors.com/professor/1852383,2018.0,0.9,high,Full Professor,17,1852383
Myoungkyu Song,University of Nebraska Omaha,NE,R2,Computer Science,https://www.ratemyprofessors.com/professor/2043783,2020.0,0.55,medium,Associate Professor,15,2043783
Mahadevan Subramaniam,University of Nebraska Omaha,NE,R2,Computer Science,https://www.ratemyprofessors.com/professor/1381229,,0.4,low,Full Professor,11,1381229
Pei-Chi Huang,University of Nebraska Omaha,NE,R2,Computer Science,https://www.ratemyprofessors.com/professor/2474967,2024.0,0.7,medium,Associate Professor,8,2474967
Christopher Summa,University of New Orleans,LA,R2,Computer Science,https://www.ratemyprofessors.com/professor/1697892,2013.0,0.7,medium,Associate Professor,28,1697892
Adlai Depano,University of New Orleans,LA,R2,Computer Science,https://www.ratemyprofessors.com/professor/148032,2017.0,0.9,high,Associate Professor,22,148032
Abdullah Nur,University of New Orleans,LA,R2,Computer Science,https://www.ratemyprofessors.com/professor/2461254,2024.0,0.55,medium,Associate Professor,7,2461254
Ben Samuel,University of New Orleans,LA,R2,Computer Science,https://www.ratemyprofessors.com/professor/2376165,,0.4,low,Associate Professor,5,2376165
Cynthia Sturton,University of North Carolina at Chapel Hill,NC,R1,Computer Science,https://www.ratemyprofessors.com/professor/2549175,2026.0,0.7,medium,Associate Professor,31,2549175
Kye Hedlund,University of North Carolina at Chapel Hill,NC,R1,Computer Science,https://www.ratemyprofessors.com/professor/601002,,0.4,low,Full Professor,23,601002
Shahriar Nirjon,University of North Carolina at Chapel Hill,NC,R1,Computer Science,https://www.ratemyprofessors.com/professor/2290678,2021.0,0.7,medium,Associate Professor,21,2290678
Junier Oliva,University of North Carolina at Chapel Hill,NC,R1,Computer Science,https://www.ratemyprofessors.com/professor/2604036,2025.0,0.7,medium,Associate Professor,13,2604036
Daniel Szafir,University of North Carolina at Chapel Hill,NC,R1,Computer Science,https://www.ratemyprofessors.com/professor/2717843,2023.0,0.9,high,Associate Professor,11,2717843
Stan Ahalt,University of North Carolina at Chapel Hill,NC,R1,Computer Science,https://www.ratemyprofessors.com/professor/1733927,,0.4,low,Full Professor,9,1733927
Snigdha Chaturvedi,University of North Carolina at Chapel Hill,NC,R1,Computer Science,https://www.ratemyprofessors.com/professor/2951785,2024.0,0.7,medium,Associate Professor,6,2951785
Jarrett Billingsley,University of Pittsburgh,PA,R1,Computer Science,https://www.ratemyprofessors.com/professor/2354970,,0.4,low,Associate Professor,137,2354970
Erin Walker,University of Pittsburgh,PA,R1,Computer Science,https://www.ratemyprofessors.com/professor/2483140,2018.0,0.9,high,Associate Professor,19,2483140
Xiaowei Jia,University of Pittsburgh,PA,R1,Computer Science,https://www.ratemyprofessors.com/professor/2728179,2025.0,0.95,high,Associate Professor,10,2728179
Jacob Biehl,University of Pittsburgh,PA,R1,Computer Science,https://www.ratemyprofessors.com/professor/2793746,,0.4,low,Associate Professor,9,2793746
Adriana Kovashka,University of Pittsburgh,PA,R1,Computer Science,https://www.ratemyprofessors.com/professor/2193583,2021.0,0.7,medium,Associate Professor,8,2193583
Jack Lange,University of Pittsburgh,PA,R1,Computer Science,https://www.ratemyprofessors.com/professor/2139608,,0.4,low,Associate Professor,5,2139608
Sanjay Madhav,University of Southern California,CA,R1,Computer Science,https://www.ratemyprofessors.com/professor/1477098,2014.0,0.9,high,Associate Professor,50,1477098
Nicholas Ruozzi,University of Texas at Dallas,TX,R1,Computer Science,https://www.ratemyprofessors.com/professor/2058874,2021.0,0.7,medium,Associate Professor,32,2058874
Benjamin Raichel,University of Texas at Dallas,TX,R1,Computer Science,https://www.ratemyprofessors.com/professor/2092131,,0.4,low,Associate Professor,26,2092131
Rym Mili,University of Texas at Dallas,TX,R1,Computer Science,https://www.ratemyprofessors.com/professor/234333,,0.4,low,Full Professor,13,234333
Monika Akbar,University of Texas at El Paso,TX,R2,Computer Science,https://www.ratemyprofessors.com/professor/1933020,2023.0,0.9,high,Associate Professor,21,1933020
Mahmud Hossain,University of Texas at El Paso,TX,R2,Computer Science,https://www.ratemyprofessors.com/professor/2065846,2019.0,0.7,medium,Associate Professor,14,2065846
Shireen Elhabian,University of Utah,UT,R1,Computer Science,https://www.ratemyprofessors.com/professor/2835730,2023.0,0.7,medium,Associate Professor,46,2835730
Aditya Bhaskara,University of Utah,UT,R1,Computer Science,https://www.ratemyprofessors.com/professor/2252159,,0.4,low,Associate Professor,25,2252159
Bei Wang Phillips,University of Utah,UT,R1,Computer Science,https://www.ratemyprofessors.com/professor/2276603,2022.0,0.9,high,Associate Professor,23,2276603
Jason Wiese,University of Utah,UT,R1,Computer Science,https://www.ratemyprofessors.com/professor/2206331,2022.0,0.7,medium,Associate Professor,23,2206331
Haitao Wang,University of Utah,UT,R1,Computer Science,https://www.ratemyprofessors.com/professor/2893304,2018.0,0.9,high,Associate Professor,16,2893304
Ryan Stutsman,University of Utah,UT,R1,Computer Science,https://www.ratemyprofessors.com/professor/2136878,2023.0,0.7,medium,Associate Professor,16,2136878
Sneha Kasera,University of Utah,UT,R1,Computer Science,https://www.ratemyprofessors.com/professor/608776,2009.0,0.9,high,Full Professor,16,608776
Anton Burtsev,University of Utah,UT,R1,Computer Science,https://www.ratemyprofessors.com/professor/2835474,2024.0,0.7,medium,Associate Professor,7,2835474
Sikha Bagui,University of West Florida,FL,R2,Computer Science,https://www.ratemyprofessors.com/professor/169769,2008.0,0.9,high,Full Professor,31,169769
Chadi El Kari,University of the Pacific,CA,R2,Computer Science,https://www.ratemyprofessors.com/professor/2161224,2019.0,0.9,high,Associate Professor,8,2161224
Osvaldo Jimenez,University of the Pacific,CA,R2,Computer Science,https://www.ratemyprofessors.com/professor/2077817,2019.0,0.55,medium,Associate Professor,5,2077817
Narendra Goel,Wayne State University,MI,R1,Computer Science,https://www.ratemyprofessors.com/professor/534959,,0.4,low,Full Professor,86,534959
Alexander Kotov,Wayne State University,MI,R1,Computer Science,https://www.ratemyprofessors.com/professor/2008779,2020.0,0.9,high,Associate Professor,27,2008779
Robert Reynolds,Wayne State University,MI,R1,Computer Science,https://www.ratemyprofessors.com/professor/479061,1989.0,0.95,high,Full Professor,18,479061
Suzan Arslanturk,Wayne State University,MI,R1,Computer Science,https://www.ratemyprofessors.com/professor/2557412,2023.0,0.7,medium,Associate Professor,8,2557412
Sorin Draghici,Wayne State University,MI,R1,Computer Science,https://www.ratemyprofessors.com/professor/282371,2002.0,0.7,medium,Full Professor,7,282371
LI Yang,Western Michigan University,MI,R2,Computer Science,https://www.ratemyprofessors.com/professor/1309179,2006.0,0.7,medium,Associate Professor,17,1309179
Wuwei Shen,Western Michigan University,MI,R2,Computer Science,https://www.ratemyprofessors.com/professor/1717411,2007.0,0.9,high,Associate Professor,17,1717411
Scott Wehrwein,Western Washington University,WA,R2,Computer Science,https://www.ratemyprofessors.com/professor/2428541,2023.0,0.95,high,Associate Professor,69,2428541
Liu Yudong,Western Washington University,WA,R2,Computer Science,https://www.ratemyprofessors.com/professor/1505409,,0.4,low,Full Professor,65,1505409
Phil Nelson,Western Washington University,WA,R2,Computer Science,https://www.ratemyprofessors.com/professor/484320,1993.0,0.9,high,Full Professor,51,484320
Moushumi Sharmin,Western Washington University,WA,R2,Computer Science,https://www.ratemyprofessors.com/professor/2060493,2020.0,0.9,high,Associate Professor,46,2060493
Filip Jagodzinski,Western Washington University,WA,R2,Computer Science,https://www.ratemyprofessors.com/professor/2090042,2021.0,0.95,high,Full Professor,41,2090042
Qiang Hao,Western Washington University,WA,R2,Computer Science,https://www.ratemyprofessors.com/professor/2302983,2020.0,0.7,medium,Associate Professor,35,2302983
Brian Hutchinson,Western Washington University,WA,R2,Computer Science,https://www.ratemyprofessors.com/professor/908997,2019.0,0.7,medium,Full Professor,31,908997
Shameem Ahmed,Western Washington University,WA,R2,Computer Science,https://www.ratemyprofessors.com/professor/2121733,2021.0,0.95,high,Associate Professor,28,2121733
Caroline Hardin,Western Washington University,WA,R2,Computer Science,https://www.ratemyprofessors.com/professor/2573073,2024.0,0.9,high,Associate Professor,24,2573073
Tarek Idriss,Western Washington University,WA,R2,Computer Science,https://www.ratemyprofessors.com/professor/2592705,2024.0,0.9,high,Associate Professor,15,2592705
Yasmine Elglaly,Western Washington University,WA,R2,Computer Science,https://www.ratemyprofessors.com/professor/2771091,2024.0,0.95,high,Associate Professor,15,2771091
Shri Mare,Western Washington University,WA,R2,Computer Science,https://www.ratemyprofessors.com/professor/2682937,,0.4,low,Associate Professor,13,2682937
Kameron Harris,Western Washington University,WA,R2,Computer Science,https://www.ratemyprofessors.com/professor/2623818,2025.0,0.9,high,Associate Professor,13,2623818
Michael Tsikerdekis,Western Washington University,WA,R2,Computer Science,https://www.ratemyprofessors.com/professor/2316089,2021.0,0.9,high,Associate Professor,8,2316089
Saim Ural,Western Washington University,WA,R2,Computer Science,https://www.ratemyprofessors.com/professor/742971,,0.4,low,Associate Professor,7,742971
Amr Radwan,Western Washington University,WA,R2,Electrical Engineering & Computer Science,https://www.ratemyprofessors.com/professor/2672875,2022.0,0.95,high,Associate Professor,6,2672875
Robert Walls,Worcester Polytechnic Institute,MA,R2,Computer Science,https://www.ratemyprofessors.com/professor/2458995,2023.0,0.9,high,Associate Professor,24,2458995
Xiangnan Kong,Worcester Polytechnic Institute,MA,R2,Computer Science,https://www.ratemyprofessors.com/professor/2465471,2021.0,0.9,high,Associate Professor,9,2465471
Yanhua Li,Worcester Polytechnic Institute,MA,R2,Computer Science,https://www.ratemyprofessors.com/professor/2291632,2021.0,0.95,high,Associate Professor,9,2291632
Gillian Smith,Worcester Polytechnic Institute,MA,R2,Computer Science,https://www.ratemyprofessors.com/professor/2450834,2020.0,0.9,high,Associate Professor,6,2450834
Lane Harrison,Worcester Polytechnic Institute,MA,R2,Computer Science,https://www.ratemyprofessors.com/professor/2182790,2021.0,0.95,high,Associate Professor,6,2182790
